name,driver,internal,subnets,attached_containers
bridge,bridge,false,172.17.0.0/16,0
codestra-cp-candidate,bridge,true,10.250.250.0/28,0
codestra-enterprise-staging,bridge,true,192.168.224.0/20,0
codestra-identity-staging_identity_staging_db,bridge,true,192.168.144.0/20,2
codestra-identity-staging_service,bridge,true,192.168.128.0/20,7
codestra-identity_identity_db,bridge,true,172.20.0.0/16,2
codestra-identity_identity_service,bridge,true,172.21.0.0/16,14
codestra-internal-integration,bridge,true,10.254.41.0/28,6
codestra-kong_kong_backend,bridge,true,10.254.42.0/28,4
codestra-mail-isolated_mail-private,bridge,false,10.254.43.0/28,1
codestra-middleware-staging_backend,bridge,true,172.26.0.0/16,10
codestra-monitoring_monitoring,bridge,false,172.28.0.0/16,8
codestra-n8n-middleware-staging-control,bridge,true,10.254.40.0/28,8
codestra-n8n-remediation-v2,bridge,true,192.168.208.0/20,0
codestra-n8n-staging_backend,bridge,true,172.24.0.0/16,6
codestra-n8n-staging_edge,bridge,false,172.25.0.0/16,13
codestra-odoo-ci-local-1-533057,bridge,false,10.254.251.0/28,0
codestra-odoo-outbox-ci-net,bridge,false,192.168.32.0/20,0
codestra-odoo-result-clone-20260822,bridge,true,10.253.122.0/28,0
codestra-odoo-staging_staging_internal,bridge,true,192.168.48.0/20,3
codestra-odoo-staging_uat_access,bridge,false,192.168.64.0/20,1
codestra-odoo-transport-net,bridge,false,192.168.112.0/20,0
codestra-odoo19-foundation-staging_isolated,bridge,true,192.168.16.0/20,0
codestra-odoo19-identity-menu-staging_isolated,bridge,true,192.168.0.0/20,1
codestra-odoo19-module-staging_isolated,bridge,true,172.30.0.0/16,5
codestra-odoo19-staging_backend,bridge,true,172.27.0.0/16,4
codestra-pg-remediation-v2,bridge,true,192.168.192.0/20,0
codestra-provisioning-identity-relay_egress,bridge,false,10.254.44.0/28,1
codestra-provisioning-service_private,bridge,true,172.31.0.0/16,9
codestra-provisioning-service_telephony_private,bridge,false,10.250.240.0/28,1
codestra-qwen-controller-canary_openai_egress,bridge,false,192.168.240.0/20,0
codestra-rbac-rehearsal-20260822,bridge,true,10.253.100.0/28,0
codestra-websocket-standby-031447a_backend,bridge,true,10.253.123.0/28,2
codestra-websocket-standby-031447a_probe,bridge,false,10.253.124.0/28,1
codestra_backend,bridge,true,172.18.0.0/16,45
codestra_edge,bridge,false,172.19.0.0/16,33
codestra_qwen_auth_private,bridge,true,10.250.241.0/29,0
codestra_sip_validation_validation,bridge,true,172.22.0.0/16,0
codestra_sms_data,bridge,true,10.253.99.0/24,3
core-remed-test,bridge,false,172.23.0.0/16,0
host,host,false,,0
lead-n8n-import-isolated,bridge,true,192.168.176.0/20,0
leadodoo2_20260731151522_net,bridge,false,192.168.160.0/20,0
none,null,false,,1
notif-net-20260728,bridge,true,192.168.80.0/20,0
odoo19-migration-20260725T221342Z-net,bridge,true,172.29.0.0/16,0
quality-net-20260728,bridge,true,192.168.96.0/20,0
