SERVICE,CURRENT_IMAGE,CURRENT_DIGEST,CURRENT_GIT_SHA,EXPECTED_REPOSITORY,EXPECTED_SHA,EXPECTED_DIGEST,SAFETY_STATE,MIGRATION_MODEL,ROLLBACK_DIGEST,ACTION,RISK
codestra-agent-desktop-sipjs-staging,ghcr.io/codestra-srl/codestra-agent-desktop@sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,9118e5bc01f9ce4a52add8753c096d061cd84848,UNVERIFIED_RUNTIME_LABEL_POINTS_TO_CODEStra-SRL,9118e5bc01f9ce4a52add8753c096d061cd84848,sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,UNVERIFIED_FREEZE,HIGH:freeze-no-automatic-replacement
codestra-middleware-staging-callback-staging-1,codestra/middleware:current-hardened-20260723,sha256:57a4a3a22278aa61bc443910927a308d594db287b8e2cd500ee12293e8a93f4d,UNVERIFIED,UNVERIFIED_HOST_BUILD,UNVERIFIED,sha256:57a4a3a22278aa61bc443910927a308d594db287b8e2cd500ee12293e8a93f4d,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:57a4a3a22278aa61bc443910927a308d594db287b8e2cd500ee12293e8a93f4d,UNVERIFIED_FREEZE,HIGH:freeze-no-automatic-replacement
codestra-middleware-staging-middleware-staging-1,codestra/middleware:staging-b29db772,sha256:b81c125296effc17a33258212d9a71a3c427a972fa9783ec2c060109d167408f,b29db772ed82c0d2f1adfdb8e6da58d4baa77524,appolon1908-hue/Middleware-,81c50c7447a87f7c83544cdc4ff9d27c5059a524,sha256:9ee53c15bf58f4d808306adcc492b3a1a721175cd024b78d44ed71c6835c6506,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,FAIL:migration-in-normal-startup,sha256:b81c125296effc17a33258212d9a71a3c427a972fa9783ec2c060109d167408f,REPLACE_AFTER_BACKUP_AND_COMPATIBILITY_TEST,MEDIUM:backup-and-readback-required
codestra-middleware-staging-notification-worker-staging-1,codestra/middleware:staging-preflight-n8n-auth-20260801,sha256:ed7accf6d1f9ad7d84f43deba8caa0d58f8c40709c7b54d622d70df56b1f2386,UNVERIFIED,UNVERIFIED,UNVERIFIED,sha256:ed7accf6d1f9ad7d84f43deba8caa0d58f8c40709c7b54d622d70df56b1f2386,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:ed7accf6d1f9ad7d84f43deba8caa0d58f8c40709c7b54d622d70df56b1f2386,UNVERIFIED_FREEZE,HIGH:freeze-no-automatic-replacement
codestra-middleware-staging-odoo-result-worker-staging-1,codestra/middleware:staging-b29db772,sha256:b81c125296effc17a33258212d9a71a3c427a972fa9783ec2c060109d167408f,b29db772ed82c0d2f1adfdb8e6da58d4baa77524,Codestra-SRL/codestra-middleware,b29db772ed82c0d2f1adfdb8e6da58d4baa77524,sha256:b81c125296effc17a33258212d9a71a3c427a972fa9783ec2c060109d167408f,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:b81c125296effc17a33258212d9a71a3c427a972fa9783ec2c060109d167408f,LEGACY_PROVENANCE_VERIFIED_REPLACEMENT_UNVERIFIED,HIGH:freeze-no-automatic-replacement
codestra-middleware-staging-postgres-1,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,NOT_APPLICABLE_VENDOR_IMAGE,docker.io/library/postgres,NOT_APPLICABLE_VENDOR_IMAGE,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,NOT_APPLICABLE_INFRASTRUCTURE,NOT_APPLICABLE_INFRASTRUCTURE,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,RETAIN_PINNED_INFRASTRUCTURE,MEDIUM:backup-and-readback-required
codestra-middleware-staging-redis-1,redis@sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,NOT_APPLICABLE_VENDOR_IMAGE,docker.io/library/redis,NOT_APPLICABLE_VENDOR_IMAGE,sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,NOT_APPLICABLE_INFRASTRUCTURE,NOT_APPLICABLE_INFRASTRUCTURE,sha256:bb186d083732f669da90be8b0f975a37812b15e913465bb14d845db72a4e3e08,RETAIN_PINNED_INFRASTRUCTURE,MEDIUM:backup-and-readback-required
codestra-middleware-staging-scheduler-staging-1,codestra/middleware:staging-preflight-n8n-auth-20260801,sha256:ed7accf6d1f9ad7d84f43deba8caa0d58f8c40709c7b54d622d70df56b1f2386,UNVERIFIED,UNVERIFIED,UNVERIFIED,sha256:ed7accf6d1f9ad7d84f43deba8caa0d58f8c40709c7b54d622d70df56b1f2386,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:ed7accf6d1f9ad7d84f43deba8caa0d58f8c40709c7b54d622d70df56b1f2386,UNVERIFIED_FREEZE,HIGH:freeze-no-automatic-replacement
codestra-middleware-staging-scraper-odoo-delivery-worker-1,codestra/middleware:scraper-protected-main-4780bd72,sha256:dc97c48f3a29690635bf28de9f3d2562fac2dadb74b8744ea6e99c1bd4ffcda1,4780bd72d1c574af4aed62d374ec50b208e8ea4c,Codestra-SRL/codestra-middleware,4780bd72d1c574af4aed62d374ec50b208e8ea4c,sha256:dc97c48f3a29690635bf28de9f3d2562fac2dadb74b8744ea6e99c1bd4ffcda1,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:dc97c48f3a29690635bf28de9f3d2562fac2dadb74b8744ea6e99c1bd4ffcda1,LEGACY_EXACT_SHA_CI_VERIFIED_FREEZE,MEDIUM:backup-and-readback-required
codestra-middleware-staging-social-dead-letter-worker-staging-1,codestra/middleware:social-staging-12cd5fc,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,12cd5fc0fcd7594f01809873f882c50f7dcd98bd,Codestra-SRL/codestra-middleware,12cd5fc0fcd7594f01809873f882c50f7dcd98bd,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=false;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,application-only-or-no-schema-operation-observed,sha256:8e4a1afa8ca70a6c9136530074f6f8f1257e9f9a895f705fa50acb6f64b18fe6,LEGACY_PROVENANCE_VERIFIED_CI_UNVERIFIED_FREEZE,HIGH:freeze-no-automatic-replacement
