container,classification,component,repository,git_sha,expected_git_sha,image,immutable_image_digest,local_image_id,environment,compose_service,configuration_authority,secret_authority,rollback_image_or_digest,safety_applicable,safety_result,safety_state,startup_command
codestra-agent-desktop-preview,legacy workload,sdk,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,codestra/agent-desktop:preview-6101,UNESTABLISHED,sha256:9d01eff55f0f823d9faae1c51ffe71685663c24bc0bbdbb9da49bfe39f22e791,UNESTABLISHED,UNESTABLISHED,UNESTABLISHED,NO_SECRET_MOUNT_OBSERVED,sha256:9d01eff55f0f823d9faae1c51ffe71685663c24bc0bbdbb9da49bfe39f22e791,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/docker-entrypoint.sh nginx -g daemon off;
codestra-agent-desktop-sipjs-staging,Codestra release workload,sdk,https://github.com/Codestra-SRL/codestra-middleware,9118e5bc01f9ce4a52add8753c096d061cd84848,NOT_IN_SOURCE_LOCK,ghcr.io/codestra-srl/codestra-agent-desktop@sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,STAGING,UNESTABLISHED,UNESTABLISHED,NO_SECRET_MOUNT_OBSERVED,ghcr.io/codestra-srl/codestra-agent-desktop@sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/usr/bin/caddy run --config /etc/caddy/Caddyfile --adapter caddyfile
codestra-appolon-middleware-integration-api-1,legacy workload,unmapped,https://github.com/appolon1908-hue/Middleware-,f6748a58f8d2590520a4f28776770957061cdea1,NOT_IN_SOURCE_LOCK,ghcr.io/appolon1908-hue/codestra-middleware@sha256:695fa3ce3f50ba4d0ae0784976b946a0a683ca731155e4bd3bd9e90a4670b820,sha256:695fa3ce3f50ba4d0ae0784976b946a0a683ca731155e4bd3bd9e90a4670b820,sha256:695fa3ce3f50ba4d0ae0784976b946a0a683ca731155e4bd3bd9e90a4670b820,production,appolon-middleware-integration-api,/root/callback-e2e-platform/deploy/middleware/compose.appolon-integration-api.yaml,NO_SECRET_MOUNT_OBSERVED,ghcr.io/appolon1908-hue/codestra-middleware@sha256:695fa3ce3f50ba4d0ae0784976b946a0a683ca731155e4bd3bd9e90a4670b820,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=false;LIVE_EMAIL_DELIVERY=false;LIVE_PSTN_DIALING=false;PRODUCTION_DIALING=DISABLED,/usr/bin/python3.13 -m uvicorn app.main:create_app --factory --host 0.0.0.0 --port 8080 --proxy-headers --forwarded-allow-ips=127.0.0.1
codestra-backup-1,legacy workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,UNESTABLISHED,backup,/opt/codestra/compose/compose.yaml,NO_SECRET_MOUNT_OBSERVED,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/bin/sh -c while true; do sleep 86400; done
codestra-beyvra-email-api-1,provider workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,codestra/beyvra-email:canonical-co-20260820,UNESTABLISHED,sha256:a226db03c6fce98f81c02e78bab96a2beb452a27dd79308c921e85bfa664aa52,UNESTABLISHED,api,/root/beyvra-email-middleware/deploy/beyvra-email/compose.yaml,/etc/codestra/secrets/beyvra-email/database-url;/etc/codestra/secrets/beyvra-email/postal-webhook-secret;/etc/codestra/secrets/beyvra-email/postal-webhook-token;/etc/codestra/secrets/beyvra-email/provider-webhook-secret,sha256:a226db03c6fce98f81c02e78bab96a2beb452a27dd79308c921e85bfa664aa52,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=false;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,uvicorn app.email.runtime:app --host 0.0.0.0 --port 8080 --no-access-log
codestra-caddy-upstream-gateway,observability/security workload,unmapped,https://github.com/caddyserver/caddy-docker,UNESTABLISHED,NOT_IN_SOURCE_LOCK,caddy:2.11.4-alpine,UNESTABLISHED,sha256:5f5c8640aae01df9654968d946d8f1a56c497f1dd5c5cda4cf95ab7c14d58648,UNESTABLISHED,upstream-gateway,/opt/codestra/caddy-upstream-gateway/compose.yaml,NO_SECRET_MOUNT_OBSERVED,sha256:5f5c8640aae01df9654968d946d8f1a56c497f1dd5c5cda4cf95ab7c14d58648,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,caddy run --config /etc/caddy/Caddyfile --adapter caddyfile
codestra-email-reseller-api-1,provider workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,codestra-email-reseller-api,UNESTABLISHED,sha256:8d7bb50e8787c110a7930fadb0c69a44ba075c70cb5e035118d9f334b1211e08,UNESTABLISHED,api,"/root/codestra-odoo-middleware-functional/deploy/email-reseller/compose.yaml,/root/codestra-odoo-middleware-functional/deploy/email-reseller/compose.live-delivery-safety.yaml",/etc/codestra/secrets/middleware-certification/email-database-url,sha256:8d7bb50e8787c110a7930fadb0c69a44ba075c70cb5e035118d9f334b1211e08,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=false;LIVE_EMAIL_DELIVERY=false;LIVE_PSTN_DIALING=false;PRODUCTION_DIALING=MISSING,/usr/local/bin/live-delivery-admission python -m email_reseller_service.server
codestra-identity-auth-gateway-1,observability/security workload,unmapped,https://github.com/oauth2-proxy/oauth2-proxy,UNESTABLISHED,NOT_IN_SOURCE_LOCK,quay.io/oauth2-proxy/oauth2-proxy@sha256:aa0bd8dd5ab0c78e4c91c92755ad573a5f92241f88138b4141b8ec803463b4fd,sha256:aa0bd8dd5ab0c78e4c91c92755ad573a5f92241f88138b4141b8ec803463b4fd,sha256:aa0bd8dd5ab0c78e4c91c92755ad573a5f92241f88138b4141b8ec803463b4fd,UNESTABLISHED,auth-gateway,/opt/codestra/identity-platform/deploy/compose.identity.yaml,NO_SECRET_MOUNT_OBSERVED,quay.io/oauth2-proxy/oauth2-proxy@sha256:aa0bd8dd5ab0c78e4c91c92755ad573a5f92241f88138b4141b8ec803463b4fd,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/bin/oauth2-proxy --config=/etc/oauth2-proxy/oauth2-proxy.cfg
codestra-identity-identity-db-1,observability/security workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,UNESTABLISHED,identity-db,/opt/codestra/identity-platform/deploy/compose.identity.yaml,/etc/codestra/secrets/identity-platform/postgres_password,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,docker-entrypoint.sh postgres
codestra-identity-keycloak-1,observability/security workload,unmapped,https://github.com/keycloak-rel/keycloak-rel,df15afa5a3a8a2b10021f879ffa93b30fb36c73a,NOT_IN_SOURCE_LOCK,quay.io/keycloak/keycloak@sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,UNESTABLISHED,keycloak,/opt/codestra/identity-platform/deploy/compose.identity.yaml,/etc/codestra/secrets/identity-platform/keycloak.conf,quay.io/keycloak/keycloak@sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/opt/keycloak/bin/kc.sh --config-file=/run/secrets/keycloak.conf start --import-realm
